,Day,Trial,RWeight,RCompliance,RWidth,Object,NInitialWidthDifference,NEndingWidthDifference,NSWidth,NWidthDifference,NForce
1,1,1,2,3,2,u,0.114898737,0.086700031,0.713046824,0.072159397,0.321509736
2,1,2,2,1,3,e,0.544616002,0.381524869,0.263453184,0.590390328,0.382706398
3,1,3,1,1,2,2,0.562662924,0.777448486,0.424234166,0.850469887,0.064505572
4,1,4,3,2,2,g,0.460619834,0.199737188,0.399499864,0.411954766,0.727869389
5,1,5,3,2,3,d,0.747343092,0.296921744,0.13747335,0.695884795,0.689416941
6,1,6,2,3,2,j,0.100973643,0.036653899,0.700222817,0.03022565,0.702725306
7,1,7,1,2,3,t,0.197780897,0.413090279,0.370854239,0.339586916,0.422522408
8,1,8,1,3,3,8,0.077022481,0.112002684,0.37272975,0.058366773,0.040015999
9,1,9,1,3,1,7,0.121850144,0.095367238,0.644807079,0.082981569,0
10,1,10,1,3,3,9,0.106008957,0,0.124921854,0.011395418,0.001490828
11,1,11,3,2,2,d,0.747142571,0.274834345,0.169373066,0.682005316,0.651946257
12,1,12,1,1,1,4,0.072611011,0.241535494,0.683311158,0.135424809,0.00330891
13,1,13,2,2,2,i,0.123164673,0.027651187,0.337191222,0.041933747,0.319855281
14,1,14,2,1,1,4,0.080297663,0.301786563,0.665309459,0.178817725,0.044088504
15,1,15,3,2,1,f,0.181404986,0.108396007,0.643204078,0.137509337,0.676435831
16,1,16,1,1,1,4,0.117059911,0.315961641,0.637289005,0.21630448,0.073377816
17,1,17,1,1,3,3,0.340552102,0.740822546,0.194732539,0.654524293,0.015544607
18,1,18,2,1,2,w,1,0.469343249,0.39119632,1,0.358216825
19,1,19,3,3,1,j,0.129024352,0.066178321,0.752817274,0.070439662,0.74592295
20,1,20,2,3,3,o,0.117015351,0.072692706,0.13747335,0.065124116,0.431649183
21,1,21,3,2,2,i,0.095091683,0.026560796,0.39119632,0.019368736,0.417195426
22,1,22,1,1,2,5,0.115099258,0.591047614,0.395107642,0.385672347,0.078704798
23,1,23,1,1,1,1,0.139340062,0.624318506,0.711636183,0.425261,0.00330891
24,1,24,3,3,2,f,0.194951318,0.177817541,0.650898482,0.191220665,0.713142919
25,1,25,1,1,1,1,0.119131965,0.60768306,0.688007951,0.399169663,0.052251695
26,1,26,2,1,1,w,0.861840786,0.441272682,0.468525079,0.874841489,0.309201316
27,1,27,2,3,3,i,0.170287191,0.041826264,0.41264447,0.087498046,0.358216825
28,1,28,3,3,2,k,0.074170621,0.04325216,0.454306462,0.013427832,0.817519044
29,1,29,3,2,1,j,0.080520464,0.034529035,0.796338746,0.012958813,0.854007963
30,1,30,2,1,1,r,0.086179623,0.345178517,0.731529423,0.210380947,0.379561115
31,1,31,2,3,3,o,0.108147851,0.024631644,0.02050238,0.028349575,0.403887061
32,1,32,1,1,1,2,0.546576655,0.592864931,0.554942853,0.723226849,0.002436231
33,1,33,1,3,3,9,0.136354522,0.01082003,0.047272494,0.041760036,0.087595222
34,1,34,2,2,1,q,0.364926587,0.259904381,0.762675729,0.374728577,0.330891042
35,1,35,1,3,3,9,0.173295011,0.051024688,0,0.095540848,0.075432249
36,1,36,2,3,3,y,0.147316356,0.207985014,0.089848196,0.172807338,0.318728069
37,1,37,2,2,2,e,0.566339148,0.422372578,0.172659218,0.632706238,0.367398142
38,1,38,2,2,1,u,0.094222757,0.035563508,0.80478656,0.024284746,0.438212461
39,1,39,3,2,1,a,0.546977698,0.259904381,0.776605806,0.516667535,0.805356071
40,1,40,3,2,1,a,0.341799791,0.187686974,0.924226151,0.311827957,0.756685999
